Title,Authors,Vienna Researchers,Journal,DOI,Domain,Field,OA Status,Cited By,Date,Abstract
"Improved genome assembly of <i>Aspergillus niger</i> ATCC 1015, a citric acid-producing isolate","Schandl, Charest, Mach-Aigner et al.",Adéla Schandl (TU Wien); Julien Charest (TU Wien); Astrid R. Mach-Aigner (TU Wien); Matthias G. Steiger (TU Wien),Microbiology Resource Announcements,https://doi.org/10.1128/mra.00281-26,Life Sciences,"Biochemistry, Genetics and Molecular Biology",diamond,0,2026-05-29,"ABSTRACT We present a high-quality hybrid genome assembly of Aspergillus niger ATCC 1015, a citric acid-producing isolate. The genome consists of eight nuclear chromosomes with a length of 35,617,925 bp (N50: 4.3 Mb; GC: 49.6%) and a 31,333 bp mitochondrial genome, providing a valuable resource for biotechnological research and applications."
It Takes Two to Tango: A Pluralist Account for Building Comprehensive Explanations in Human Evolution,"Menéndez, Veigl",Sophie Veigl (Universität Wien),American Anthropologist,https://doi.org/10.1111/aman.70090,Life Sciences,"Biochemistry, Genetics and Molecular Biology",hybrid,0,2026-05-29,"ABSTRACT The evolutionary study of human dispersal is a key topic in biological anthropology. However, recent research has revealed inconsistencies between molecular and anatomical data across different timescales and geographic regions. Despite increased interdisciplinary dialogue, these discordances are rarely analyzed in depth or interpreted for their biological significance. We present two case studies: human diversification in Southeast Asia and the Americas, which highlight persistent conflicts between morphological and genetic interpretations. Drawing on recent calls for extending the conceptual tools of evolutionary theory, we argue for a pluralist explanatory framework that can account for developmental plasticity, environmental responsiveness, and multiple trajectories of inheritance. We show how treating different datasets as epistemically equal—rather than subordinating anatomical data to molecular “controls”—allows for more comprehensive and nuanced explanations of evolutionary phenomena. This approach not only offers new insights into past human variation but also addresses long‐standing issues of disciplinary fragmentation."
Potential of an In-Cylinder Pressure–Based Combustion Control for Compression Ignition Aviation Engines Operated with Sustainable Aviation Fuels,"Kleissner, Hofmann",Florian Kleissner (TU Wien); Peter Hofmann (TU Wien),SAE technical papers on CD-ROM/SAE technical paper series,https://doi.org/10.4271/2026-01-5028,Physical Sciences,Chemical Engineering,closed,0,2026-05-29,"&lt;div class=""section abstract""&gt;&lt;div class=""htmlview paragraph""&gt;The aviation industry represents a significant greenhouse gas emitter and aims to reduce net CO&lt;sub&gt;2&lt;/sub&gt; emissions to zero by 2050. The deployment of sustainable aviation fuel (SAF), alongside measures such as increasing engine efficiency and enhancing ground handling processes, represents a key driver to reach this ambitious goal. SAF exhibits significantly different physical and chemical properties compared to conventional kerosene. The corresponding fuel specification (ASTM D7566 [&lt;span class=""xref""&gt;1&lt;/span&gt;]) currently only defines fuel parameters relevant for the use in jet engines. To assess the suitability of SAF for the use in compression ignition (CI) aviation engines, a collaborative project was conducted at TU Wien—Institute of Powertrain and Automotive Technology, together with Austro Engine. ASTM D7566-certified fuels like Hydrotreated Vegetable Oil (HVO), Fischer–Tropsch–Kerosene (FTK), and Alcohol-to-Jet (AtJ) have been investigated on the engine test bench at TU Wien. The core contribution of this study is the experimental evaluation of a real-time capable in-cylinder pressure–based combustion control strategy that enables fuel-flexible and optimized CI engine operation across a wide range of SAF while accounting for mechanical constraints such as peak cylinder pressure and pressure rise rate. To evaluate the potential of such a control system, optimized engine operation was compared to operation with conventional ECU (Engine Control Unit) mapping. Furthermore, the influence of such a real-time combustion process optimization on critical emissions like NO&lt;sub&gt;x&lt;/sub&gt; or soot has been evaluated. Through the implementation of an in-cylinder pressure–based combustion control, a considerable fuel-saving potential could be demonstrated across the entire fuel range. As combustion phasing is optimized toward early crank angle positions, a slight increase in NO&lt;sub&gt;x&lt;/sub&gt;, with a corresponding decrease in soot is observed. Additionally, the use of automotive, piezoresistive pressure sensors was examined regarding a potential serial application. It has been shown that piezoresistive sensors (standard serial parts—calibrated for automotive application) are well-suited for determination of combustion phasing, while in-cylinder peak pressure and its position can only be determined with insufficient accuracy.&lt;/div&gt;&lt;/div&gt;"
"Development and evaluation of particle analysis system for the process water of the petrochemical industry using hyperspectral imaging, white-light imaging, and fluorescence imaging","Arnold, Biasio, Bereczki et al.",Thomas Arnold (Silicon Austria Labs); Martin De Biasio (Silicon Austria Labs); Tibor Bereczki (Silicon Austria Labs); Felix Frank (TU Wien) …,?,https://doi.org/10.1117/12.3099939,Physical Sciences,Chemistry,closed,0,2026-05-29,"The process water from petrochemical industries contains particles and oil droplets that must be removed before discharge into the environment. To detect and analyze these contaminants, a particle analysis system utilizing hyperspectral imaging, fluorescence imaging, and white-light imaging has been developed. This system targets particles and droplets ranging from 5 µm to 150 µm in size and utilizes an ultrasound particle manipulation system to guide particles and droplets into the focal plane of the imaging systems. Traditional analyzers rely on monochrome cameras with backlight illumination, producing monochrome images that provide only size and shape data. While this allows differentiation between solid particles (which appear black) and oil droplets, detailed material analysis of the solid particles remains limited. The hyperspectral imaging system offers spectral resolution, enabling material identification of the particles. The fluorescence imaging ensures reliable oil droplet detection, while the white-light imaging captures high-quality color images for both particles and droplets. This comprehensive data is essential for optimizing water treatment processes in oil production. The results of the field tests are presented, and the strengths and limitations of each subsystem are discussed providing valuable insights for end-users, researchers, and engineers seeking to select the most suitable sensor for their specific application."
"Molecular and crystal structure of <i>catena</i> -poly[1-benzyl-[1,2,4]triazolo[1,5- <i>c</i> ]quinazolin-1-ium-2,5-bis(thiolate) [[aquasodium]-di-μ-aqua]]","Shishkina, Kovalenko, Drushlyak et al.",Maryna S. Kovalenko (Universität Wien); Christian Dank (Universität Wien),Acta Crystallographica Section E Crystallographic Communications,https://doi.org/10.1107/s2056989026005487,Physical Sciences,Chemistry,gold,0,2026-05-29,"In the crystal structure of the title salt, {[Na(H 2 O) 3 ](C 16 H 11 N 4 S 2 )} n , the 1-benzyl-[1,2,4]triazolo[1,5- c ]quinazolin-1-ium-2,5-bis(thiolate) anion is not included in the coordination sphere of the sodium cation. The latter is coordinated by five water molecules, two pairs of which form bridges with two neighbouring sodium cations, whilst the fifth water molecule additionally coordinates monodentately. The anion structure can be described as a superposition of two zwitterionic structures with two negative charges located on the sulfur atoms and one positive charge either on the nitrogen nodal atom or on the nitrogen atom bonded to the benzyl group. In the crystal structure, the organic molecules are linked to the aqua ligands via intermolecular O—H...(N,S) hydrogen bonds. The crystal packing can be characterized as layered, defining a three-layer unit parallel to (100) as the main motif. The central part of the three-layer unit consists of 1 ∞ [Na(H 2 O) 1/1 (H 2 O) 4/2 ] chains extending parallel to [010]. Two layers of anion molecules sandwich the cation layer."
Molecular‐Interactions Driven Conjugated Polymer Nanofiber Self‐Assembly Toward Greener Fabrication,"Zhang, Villalva, Zapata‐Arteaga et al.",Daniel Corzo (Silicon Austria Labs),Advanced Materials,https://doi.org/10.1002/adma.73513,Physical Sciences,Chemistry,closed,0,2026-05-29,"Self-assembled conjugated polymer (CP) nanofibers form elongated, percolated networks that facilitate efficient charge transport and mechanical compliance, yet a general strategy for their formation from solution remains elusive. Here, we present a molecular-interaction-governed framework for antisolvent-induced nanofiber self-assembly that couples thermodynamic fibrillar preaggregate formation with kinetic nanofiber growth. The framework integrates Hansen solubility parameters with a segment-specific affinity descriptor to predict solvent-antisolvent combinations for nanofiber formation. Structural characterization combined with molecular modeling shows that antisolvents with low affinity for alkyl side chains promote rigid, elongated fibrillar preaggregates, acting as key intermediates in nanofiber formation. This framework is validated across diverse solvent-antisolvent combinations and polymer systems, yielding nanofibers with tunable widths of 50-200 nm. It further enables the identification of eco-friendly, terpene-based solvent systems for green nanofiber manufacturing, while achieving up to threefold enhancements in field-effect mobility. Together, these advances provide a pathway to rationally control CP nanostructures, offering broad utility for advancing sustainable, stretchable electronics."
Porosity Preservation in Deeply Buried (8500 m) Jurassic Calcareous Mudstones of the Vienna Basin (Austria),"Gier, Schieber, Forstner‐Schicker et al.",Susanne Gier (Universität Wien); Andrea Forstner‐Schicker (Universität Wien),Terra Nova,https://doi.org/10.1111/ter.70047,Physical Sciences,Earth and Planetary Sciences,hybrid,0,2026-05-29,"ABSTRACT Significant porosity of more than 5% was found at depths of more than 8500 m in poorly sorted, calcareous mudstones of the Malmian Mikulov Formation. These overpressured rocks are the main hydrocarbon source rock in the Vienna Basin. Core samples from present‐day depths of 8150 m to 8550 m were analysed using X‐ray diffraction and scanning electron microscopy. The mudstones are composed of calcite, clay minerals and quartz, with minor amounts of ankerite, albite and pyrite. SEM imaging reveals various pore types, including phyllosilicate framework pores, carbonate framework pores, carbonate dissolution pores, and organic matter pores ranging from 10 nm to 2 μm. The preservation of porosity is attributed to several factors, including their dominant calcareous composition, poor sorting, early carbonate cementation, and overpressuring due to rapid burial by Alpine Nappes. These findings provide valuable insights into the diagenetic processes and porosity evolution in deeply buried mudstones."
50 &amp;amp; 25 Years Ago,Neuhold,Erich Neuhold (Universität Wien),Computer,https://doi.org/10.1109/mc.2026.3674371,Social Sciences,"Economics, Econometrics and Finance",closed,0,2026-05-29,Summaries of articles presented in this issue of the publication.
"Optimizing sustainable healthcare location routing problem: Incorporating triage, automated medicine lockers, and soft time windows","Bahrami, Tajasob, Al-e-Hashem",Pouria Tajasob (WU Wien),PLoS ONE,https://doi.org/10.1371/journal.pone.0349445,Physical Sciences,Engineering,gold,0,2026-05-29,"For the past few years, pharmaceutical logistics has undergone significant changes, especially in the period referred to as the post-pandemic era, which brought major transformations to healthcare systems around the world. This research provides a novel model to enhance pharmaceutical supply chain services by routing, locating, and allocating urgent and non-urgent patients to home delivery services or automated medicine lockers. Two scenarios are proposed, with one scenario considering two types of vehicles and creating different routes to deliver medicine to automated medicine lockers or patients, and the other not distinguishing between them. The proposed mixed integer linear programming model uses a three-objective for the green open vehicle routing problem to identify the routing total costs, greenhouse gas emissions under varying speed levels due to risk of traffic congestion, and patient satisfaction. The concept of triage is also embedded into the model to prevent assigning the urgent patients to automated medicine lockers as much as possible. The problem is solved using an improved non-dominated sorting genetic algorithm-II and the LP-metric method, verified through real-world applications. Although experimental studies justify applying automated medicine lockers to cut costs significantly, 14.74% for the first scenario and 13.511% for the second, the resulted model also highlights its application to optimizing home healthcare performance. It is achieved by including greenhouse gas emissions and patient satisfaction within the framework and utilizing automated medicine lockers for pharmacy supply chain services improvement."
Real Time Interactive Web GIS Based Modelling of High Traffic Air Corridors in Iran Using Origin Destination Matrix Analysis,"Mardekheh, Argany, Karimipour et al.",Farid Karimipour (IST Austria),"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences",https://doi.org/10.5194/isprs-annals-x-4-w8-2025-493-2026,Physical Sciences,Engineering,diamond,0,2026-05-29,"Abstract. Air traffic management is a critical component of aviation, aiming to balance safety, capacity and demand within controlled airspace. This research analyses Iran's domestic air transport network (2018-2021) by developing annual Origin-Destination (OD) impedance matrices based on flight frequency. The methodology quantifies network connectivity, revealing a highly centralized structure dominated by core corridors like Tehran-Mashhad, which carried over 10,500 flights in 2019. The COVID-19 pandemic caused a severe disruption in 2020, with traffic on major routes falling by nearly half, followed by a partial recovery in 2021. Analysis shows core hubs rebounded faster than peripheral airports, widening accessibility gaps. Through origin-destination matrix processing, the system identifies high density air routes and analyses historical trends in airspace utilization. The impedance matrix, validated against data (R²=0.87), successfully maps the intense service on hub links and the high impedance of sparse peripheral routes. Then an interactive Web GIS platform was implemented for spatiotemporal analysis of air traffic density."
Two-photon printed fiber to waveguide micro-connector,Shishkin,Ivan Shishkin (Silicon Austria Labs),e+i Elektrotechnik und Informationstechnik,https://doi.org/10.1007/s00502-026-01429-2,Physical Sciences,Engineering,closed,0,2026-05-29,
Valorization and Characterization of Agricultural and Forest Biomass Residues Through Colloidal Lignin Particle Production,"Tomasich, Kaindl, Venclik et al.",Bastian Venclik (TU Wien),Polymers,https://doi.org/10.3390/polym18111352,Physical Sciences,Engineering,gold,0,2026-05-29,"The valorization of secondary biomass streams is an important step toward more resource-efficient biorefinery concepts and reduced dependence on fossil-based materials. In this study, agricultural and forest residues, namely Atlas cedar cones, mixed conifer cones, hazelnut shells, walnut shells, coffee silverskin, and cocoa shells, were investigated as feedstocks for producing colloidal lignin particles. Lignin-rich extracts were obtained by Organosolv pretreatment using 60 wt% aqueous ethanol, followed by particle formation through solvent shifting and purification by ultrafiltration. A particular novelty of this work is that highly different feedstocks were processed under identical Organosolv and solvent-shifting conditions, enabling a direct comparison of their suitability for colloidal lignin particle production within one consistent process route. The feedstocks differed markedly in extractive content and chemical profile, as shown by sequential Soxhlet extraction and qualitative GC-MS screening. Despite these differences in extract composition, solvent shifting yielded colloidal lignin particles with largely similar properties. Dynamic light scattering showed hydrodynamic diameters of 65–88 nm immediately after precipitation for all samples except cocoa shell, which formed strong agglomerates. The ultrafiltration step further introduced an industry-relevant downstream purification stage by removing most water-soluble low-molecular-weight compounds before product evaluation. After purification and redispersion, particle sizes ranged from 121 to 389 nm, indicating partial aggregation but overall successful recovery of stable colloidal dispersions. All purified particle suspensions exhibited comparable antioxidant activity in the FRAP (ferric reducing antioxidant power) assay, ranging from 12.3 to 18.4 mg lignin per mg ascorbic acid equivalents. These results demonstrate that even chemically diverse biomass side streams can be converted into purified colloidal lignin suspensions with similar colloidal behavior and functional performance. The findings highlight the potential of low-value agricultural and forest residues as promising raw materials for lignin-based antioxidant and material applications."
Age-dependent observer effects in Austrian long-term monitoring data of common breeding birds,"Teufelbauer, Schulze, Nemeth",Norbert Teufelbauer (Universität Wien); Christian H. Schulze (Universität Wien),Bird Study,https://doi.org/10.1080/00063657.2026.2673039,Physical Sciences,Environmental Science,closed,0,2026-05-29,
Infection cycles of viruses of the phylum Nucleocytoviricota,"Abergel, Abrahão, Coulibaly et al.",Anouk Willemsen (Universität Wien),Nature Reviews Microbiology,https://doi.org/10.1038/s41579-026-01319-6,Physical Sciences,Environmental Science,closed,0,2026-05-29,
Response of ammonia-oxidizing archaea to experimental warming in high-N2O-emitting permafrost peatland habitats,"Lamprecht, Marushchak, Voigt et al.",Alexandre Bagnoud (Universität Wien); Ricardo Alves (Universität Wien); Christa Schleper (Universität Wien),Arctic Science,https://doi.org/10.1139/as-2025-0075,Physical Sciences,Environmental Science,gold,0,2026-05-29,"High nitrous oxide (N2O) emissions from bare peat surfaces in permafrost peatlands are mainly produced by denitrification but depend on nitrate (NO3–) supply through nitrification. Here, we investigated the effect of experimental warming on ammonia oxidizers , who catalyze the rate limiting step of nitrification, in bare peat surfaces. We determined the abundance and community composition of amoA genes in warmed and control plots, and combined these results with gross nitrification rates and previously reported data on mineral nitrogen (N) pools, soil N2O concentrations and surface emissions. Ammonia oxidizer communities comprised only a few closely related amplicon sequence variants (ASV) of ammonia-oxidizing archaea (AOA). Contrary to our expectations, warming did not cause significant changes in the archaeal amoA abundance but shifted their community composition: a single ASV of the Zeta (ζ) clade of Nitrososphaera became highly dominant in subsurface peat, where a tendency, towards higher gross nitrification rates, although not significant, was observed. High NO3– concentrations and gross nitrification rates indicated that denitrification was not limited by NO3– availability. Thus, increased N2O emissions with warming were not caused by enhanced nitrification. However, the sensitivity of the nitrifier community to the mild warming treatment suggests that compositional shifts are expected in Arctic soils under a future warmer climate, which may have implications for N turnover."
Fibroblast-derived thrombospondin-1 shapes macrophage polarization in advanced human co-culture models,"Draganić, Isaev, Pototschnig et al.",Kristina Draganić (MedUni Wien); Sergey Isaev (MedUni Wien); Daniel Valcanover (MedUni Wien); Janette Pfneissl (MedUni Wien) …,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.64898/2026.05.28.728363,Life Sciences,Immunology and Microbiology,green,0,2026-05-29,"Background: Tumor-associated macrophages (TAMs) are key drivers of the immunosuppressive tumor microenvironment (TME), supporting tumor progression through diverse functions. However, mechanistic studies of TAM polarization remain limited by the lack of physiologically relevant human model systems that capture stromal-immune interactions and macrophage heterogeneity. Methods: We established advanced human co-culture systems that integrate healthy donor-derived macrophages with patient-derived organoids and tumoroids (PDOs and PDTs), as well as matched normal fibroblasts (NFs) and cancer-associated fibroblasts (CAFs). These multicellular models enabled the investigation of interactions among stromal, epithelial, and immune cells within tumor and adjacent normal tissue environments. Results: The co-culture systems recapitulated distinct macrophage states associated with tumor and adjacent normal environments and identified fibroblasts as major regulators of macrophage phenotypes. CAFs promoted macrophage metabolic remodeling characterized by altered lipid handling and enrichment of TAM-like signatures. Mechanistically, we identified thrombospondin 1 (TSP1) as a CAF-secreted factor linked to metabolic priming. Recombinant TSP1 induced transient lipid accumulation followed by mitochondrial remodeling. In tumor co-culture conditions, CD36 inhibition reduced lipid accumulation in macrophages, supporting a role for TSP1-linked lipid crosstalk in stromal-immune interactions. Conclusion: Our study establishes advanced patient-derived co-culture models as a platform to investigate human TAM biology and stromal-immune interactions in CRC. Using these systems, we identify a fibroblast-associated TSP1-lipid axis linked to macrophage metabolic remodeling and TAM-like polarization, highlighting stromal metabolic communication as a potential targetable feature of the CRC microenvironment."
Improving Valorization of Waste Textiles: Assessing Separation Efficiency of Cotton–PET Blends via Alkaline and Enzymatic Hydrolysis,"Kählig, Ipsmiller, Bartl et al.",Pablo Kählig (TU Wien); Wolfgang Ipsmiller (TU Wien); A. Bartl (TU Wien); Jakob Lederer (TU Wien),Recycling,https://doi.org/10.3390/recycling11060100,Physical Sciences,Materials Science,gold,0,2026-05-29,"Recycling cotton–PET textile blends using alkaline solutions has gained increasing attention, with studies showing promising treatment pathways with diverse process setups. However, these separation processes use various input materials and focus on a small number of treatment parameter values which render the comparison of results over a large parameter range difficult. This study presents the feasibility of recovering cotton or PET at fabric level from cotton–PET blends across a wide range of temperatures (from −30 °C to 95 °C) and alkaline concentrations (from 0 to 40% (w/w)). The focus of this study is centered on the share of separation and recoverable fiber mass after hydrolyzing one component using alkaline hydrolysis or alkaline pre-treatment followed by enzymatic hydrolysis. A comparison of purity and material loss of the recovered polymers for all parameter sets is given. Experiments were performed on two distinct textiles while process parameters were selected in a straightforward manner, excluding catalysts, co-solvents and defibration. The results map temperature and alkaline concentration areas where these cotton–PET separation processes are feasible regarding recoverable fiber mass. Based on these results, separation efficiency could be optimized to design economic and environmentally friendlier process conditions."
A.Kocher Technique: A Simplified Universally Applicable Approach for Aortic Root Enlargement,"KOCHER, Osorio, Laengle et al.",A KOCHER (MedUni Wien); Emilio Osorio (MedUni Wien); Severin Laengle (MedUni Wien); Marek Ehrlich (MedUni Wien) …,Innovations Technology and Techniques in Cardiothoracic and Vascular Surgery,https://doi.org/10.1177/15569845261450957,Health Sciences,Medicine,closed,0,2026-05-29,
"Associations between dietary patterns and cardiovascular, kidney and metabolic risk markers in the Cooperative Health Research in South Tyrol study","Hantikainen, Berger, Barbieri et al.",Sophie Berger (Universität Wien),European Journal of Nutrition,https://doi.org/10.1007/s00394-026-03992-y,Health Sciences,Medicine,hybrid,0,2026-05-29,"Abstract Purpose Cardiovascular-kidney metabolic syndrome (CKM) represents an increasingly prevalent public health concern. Optimal strategies to prevent CKM-related outcomes are greatly needed. We assessed the association between various dietary patterns and CKM biomarkers in a general population study. Methods We used cross-sectional data from 8066 adult participants of the Cooperative Health Research in South Tyrol (CHRIS) study. Self-reported dietary intake was assessed through the semi-quantitative GA 2 LEN Food Frequency questionnaire. We derived six established dietary pattern indices, and population-specific dietary patterns through principal component analysis. CKM biomarkers included: systolic and diastolic blood pressure, glycated haemoglobin, visceral fat, HDL, LDL and total cholesterol, triglycerides, creatinine-based estimated glomerular filtration rate, and urinary albumin-to-creatinine ratio. We investigated associations between each dietary index and CKM risk marker using multivariable linear regression models. We further examined potential effect modification by sex, body mass index, physical activity and smoking habit. Results Higher adherence to healthy dietary patterns rich in fruits, vegetables, whole grains, and low in saturated fats was associated with more favorable CKM marker levels. E.g, when comparing the fourth to the first quartile the healthy plant-based dietary index was associated with lower total and LDL cholesterol (β ≈ − 5.0 mg/dL, p &lt; 0.001), lower blood pressure (β= − 1.24 mmHg, p = 0.001) and higher eGFR (β = 1.24 ml/min/1.73m 2 , p = 0.001). In contrast, the unhealthy plant based and a Western style diet were associated with higher SBP (β = 1.23–1.89 mmHg, p &lt; 0.01), amongst others. For some markers, associations tended to be stronger in men, individuals with overweight or obesity, those with lower physical activity, and smokers (P interaction &lt; 0.05). Conclusions Adhering to a healthy plant rich diet low in saturated fats, added sugars and processed foods was associated with more favorable levels of CKM biomarkers, including blood lipids, blood pressure, glycated hemoglobin and eGFR."
Bayesian Evaluation of Treatment Effect of Avelumab Plus Axitinib for Advanced Renal Cell Carcinoma,"Fukuokaya, Mori, Yanagisawa et al.",Pawel Rajwa (MedUni Wien); Shahrokh F. Shariat (MedUni Wien),Cancer Medicine,https://doi.org/10.1002/cam4.71999,Health Sciences,Medicine,gold,0,2026-05-29,"BACKGROUND: Despite not achieving statistical significance, the JAVELIN Renal 101 trial indicated a potentially clinically relevant effect size (hazard ratio [HR], 0.88; 95% confidence interval, 0.75 to 1.04) on overall survival (OS) favoring avelumab plus axitinib over sunitinib for advanced renal cell carcinoma (aRCC). To better interpret these findings, we performed a Bayesian evaluation. METHODS: We reanalyzed individual participant data from the JAVELIN Renal 101 trial using a Bayesian framework. Prior distributions were specified for varying levels of enthusiasm and skepticism for avelumab plus axitinib, and a prior from a meta-analysis of similar trials. The posterior probability of any OS benefit with avelumab plus axitinib, Pr(HR < 1.0), and of benefit exceeding the minimal clinically important difference (MCID; HR = 0.75), Pr(HR < MCID), were estimated using Bayesian Cox models. Bayesian hierarchical models evaluated treatment effect heterogeneity across International Metastatic Renal Cell Carcinoma Database Consortium risk groups and programmed death-ligand 1 (PD-L1) status. RESULTS: Regardless of the prior assumptions used, Pr(HR < 1.0) was consistently high (93.0% to 95.5%). However, Pr(HR < MCID) was low (1.0% to 3.8%). Results were similar when the prior was informed by pooled data from similar trials. In subgroup analyses, Pr(HR < MCID) varied by risk group: 63.4% for poor-risk, 34.9% for favorable-risk, and 0.9% for intermediate-risk aRCC. This probability was low regardless of PD-L1 status. CONCLUSIONS: This exploratory Bayesian reanalysis complements the interpretation of the JAVELIN Renal 101 trial and offers a probabilistic perspective beyond a dichotomous (i.e., significant/nonsignificant) interpretation."
Comparison of PET imaging of [18F]F-FAPI and [18F]F-FDG for diagnosis of suspected lymph node metastases in penile squamous cell carcinoma: a prospective pilot study,"Ouyang, Tong, Hou et al.",Xiang Li (MedUni Wien),European Journal of Nuclear Medicine and Molecular Imaging,https://doi.org/10.1007/s00259-026-07961-9,Health Sciences,Medicine,closed,0,2026-05-29,
Disease outcomes with ublituximab in treatment-naïve participants: subpopulation analyses of the phase 3 ULTIMATE I and II studies in participants with relapsing multiple sclerosis,"Robertson, Álvarez, Steinman et al.",Hans-Peter Hartung (MedUni Wien),Frontiers in Immunology,https://doi.org/10.3389/fimmu.2026.1771848,Health Sciences,Medicine,gold,0,2026-05-29,"Background Evidence suggests that treating relapsing multiple sclerosis (RMS) initially with a high-efficacy disease-modifying therapy (DMT) is superior to an escalating approach at reducing disability progression and relapse rate. Objectives To evaluate the efficacy of ublituximab versus teriflunomide in participants without prior DMT (treatment-naïve population) and in a subset of treatment-naïve participants with symptom onset ≤ three years (early treatment subpopulation). Methods Pooled post hoc analyses of ULTIMATE I/II were conducted at Week 96. Results The annualized relapse rate was 0.081 for ublituximab ( n = 345) versus 0.188 for teriflunomide ( n = 377) ( p &amp;lt; 0.001) in the treatment-naïve population and 0.130 for ublituximab ( n = 139) versus 0.334 for teriflunomide ( n = 140) in the early treatment subpopulation ( p = 0.004). Twelve-week confirmed disability improvement rates were 10.7% versus 5.3% ( p = 0.010) in the treatment-naïve population and 14.4% versus 3.6% ( p = 0.002) in the early treatment population (ublituximab vs. teriflunomide). Significant reductions in gadolinium-enhancing T1 lesions and new/enlarging T2 lesions, respectively, occurred for ublituximab versus teriflunomide (treatment naïve: 0.031 vs. 0.791 and 0.390 vs. 4.144; p &amp;lt; 0.001 for both; early treatment: 0.051 vs. 1.030 and 0.508 vs. 6.068; p &amp;lt; 0.001 for both). Conclusions Ublituximab was associated with significant treatment benefits at Week 96 in treatment-naïve participants and those receiving treatment within three years of symptom onset. Clinical trial registration https://clinicaltrials.gov/study/NCT03277261 and https://clinicaltrials.gov/study/NCT03277248 , identifiers NCT03277261 and NCT03277248."
Early radiological response pattern predicts long-term response in patients with non-small cell lung cancer treated with immune-checkpoint inhibitors,"Kleinberger, Mair, Berger et al.",Markus Kleinberger (MedUni Wien); Maximilian J. Mair (MedUni Wien); J Berger (MedUni Wien); L. Gottmann (MedUni Wien) …,Cancer Imaging,https://doi.org/10.1186/s40644-026-01048-2,Health Sciences,Medicine,gold,0,2026-05-29,"BACKGROUND: Immune checkpoint inhibitors (ICI) benefit only a subset of patients with non-small cell lung cancer (NSCLC). We evaluated whether response patterns differ by metastatic site and whether early radiological change predicts long-term outcomes. METHODS: Patients with advanced NSCLC treated with ICI were prospectively enrolled between 03/2019 - 03/2023. Imaging was assessed blindly by a board-certified radiologist per iRECIST. Early response was defined as change in sum of diameters (SoD) from baseline to first restaging (8-12 weeks). Baseline and early inflammatory laboratory markers were collected. Endpoints were associations of early radiological response with durable clinical benefit (DCB; disease control ≥ 6 months), best overall response (BOR), overall survival (OS), progression-free survival (PFS) and organ-specific tumor burden. RESULTS: Among 122 patients (46% female; median age 65) 32.8% were BOR responders and 47.5% achieved DCB. Median OS was 64.6 weeks and PFS 31.6 weeks. Early SoD reduction predicted DCB (p > 0.05, AUC 0.764) and BOR (p < 0.01, AUC 0.701). Organ-specific effects were seen particularly in lung and lymph nodes (all p ≤ 0.021). First-line ICI showed greater early shrinkage (p < 0.001) and higher response (p = 0.024), later-line therapy reduced response odds (BOR: OR 0.34; DCB: OR 0.38). Although selected baseline inflammatory markers were associated with survival in univariable analyses, neither baseline nor dynamic laboratory parameters retained independent significance in multivariable models after correction for multiple testing. CONCLUSIONS: Specific organ sites show differential sensitivity to ICI, with lung and nodal metastases demonstrating the most pronounced early regression. Early radiological dynamics robustly predicted DCB, BOR, PFS, and OS and outperformed laboratory biomarkers, supporting their use as a practical, clinically relevant tool to identify patients most likely to benefit from ICI. CLINICAL TRIAL NUMBER: Not applicable."
"Long-term performance trajectories in classic powerlifting: an exploratory analysis of 6,524 lifters with sustained competitive engagement","Renner, Hoek, Csapo",Alexander Renner (Universität Wien); Robert Csapo (Universität Wien),BMC Sports Science Medicine and Rehabilitation,https://doi.org/10.1186/s13102-026-01775-w,Health Sciences,Medicine,gold,0,2026-05-29,"BACKGROUND: Previous powerlifting research has largely examined correlates of performance in single competitions or over short observation periods, leaving long-term patterns of athletic development among sustained competitors insufficiently described. The present investigation addresses this gap by examining performance progression, observed peak performance timing, and correlates of peak career success in classic powerlifting. METHODS: This retrospective observational study analyzed IPF-affiliated classic powerlifters with at least 10 completed competitions. Population-level age-performance patterns were described using LOESS smoothing with a lifter-level cluster bootstrap. Between-group differences in annual performance progression were examined using multivariable ordinary least squares models with lifter-clustered standard errors. Associations with observed peak timing were examined using multivariable ordinary least squares models, complemented by discrete-time event-history robustness analyses, and correlates of peak career performance were examined using multivariable ordinary least squares models. RESULTS: Within this selected cohort, annual gains generally declined with increasing years in sport. Peak performance occurred at approximately 27 years of age and observed individual peak performance was typically reached after 4-6 years of competition participation, around the 10th competition. Higher competition frequency was associated with earlier observed peak timing when indexed by year in sport, but with later observed peak timing when indexed by competition number and was not associated with greater peak performance. Age and IPF GL Points at the first competition were the strongest multivariable correlates of observed peak career performance, whereas attempt success rate, sex, and weight-class change patterns showed statistically significant but comparatively small effects. CONCLUSIONS: Early competitive performance and age at entry were strong multivariable correlates of observed peak career performance, while higher competition frequency appeared to relate primarily to the pacing and competitive exposure of development rather than to peak magnitude. These findings may inform early benchmarking and individualized long-term competition planning."
